,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Total Yds,Total Yds,Total Yds,,,#NAME?
No.,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,-9999
10,Isiah Pacheco,24,RB,14,13,205,935,7,53,50.7,48,4.6,66.8,14.6,49,44,244,5.5,2,12,44.9,33,3.1,17.4,89.80%,5,249,4.7,1179,9,1,PachIs00
15,Patrick Mahomes*,28,QB,16,16,75,389,0,27,50.7,25,5.2,24.3,4.7,,,,,0,,,,,,,,75,5.2,389,0,5,MahoPa00
25,Clyde Edwards-Helaire,24,RB,15,3,70,223,1,12,40,20,3.2,14.9,4.7,22,17,188,11.1,1,7,50,48,1.1,12.5,77.30%,8.5,87,4.7,411,2,,EdwaCl00
29,La'Mical Perine,25,RB,3,1,22,77,0,3,40.9,10,3.5,25.7,7.3,5,3,33,11,0,1,20,25,1,11,60.00%,6.6,25,4.4,110,0,,PeriLa00
1,Jerick McKinnon,31,RB,12,0,21,60,1,7,47.6,10,2.9,5,1.8,32,25,192,7.7,4,10,43.8,27,2.1,16,78.10%,6,46,5.5,252,5,,McKiJe00
19,Kadarius Toney,24,WR,13,2,11,31,0,2,27.3,14,2.8,2.4,0.8,38,27,169,6.3,1,12,44.7,18,2.1,13,71.10%,4.4,38,5.3,200,1,1,ToneKa00
9,Blaine Gabbert,34,QB,2,1,7,45,0,2,42.9,25,6.4,22.5,3.5,,,,,0,,,,,,,,7,6.4,45,0,,GabbBl00
24,Skyy Moore,23,WR,14,8,3,23,0,1,100,11,7.7,1.6,0.2,38,21,244,11.6,1,13,44.7,54,1.5,17.4,55.30%,6.4,24,11.1,267,1,,MoorSk01
4,Rashee Rice,23,WR,16,8,1,-3,0,0,0,-3,-3,-0.2,0.1,102,79,938,11.9,7,44,61.8,67,4.9,58.6,77.50%,9.2,80,11.7,935,7,2,RiceRa01
83,Noah Gray,24,TE,17,10,1,1,0,0,0,1,1,0.1,0.1,41,28,305,10.9,2,16,53.7,34,1.6,17.9,68.30%,7.4,29,10.6,306,2,,GrayNo00
12,Mecole Hardman,25,WR,6,2,1,3,0,0,0,3,3,0.5,0.2,21,14,118,8.4,0,8,52.4,37,2.3,19.7,66.70%,5.6,15,8.1,121,0,1,HardMe00
87,Travis Kelce*,34,TE,15,15,,,0,,,,,,,121,93,984,10.6,5,50,62,53,6.2,65.6,76.90%,8.1,93,10.6,984,5,1,KelcTr00
84,Justin Watson,28,WR,16,8,,,0,,,,,,,53,27,460,17,3,21,50.9,41,1.7,28.8,50.90%,8.7,27,17,460,3,1,WatsJu01
11,Marquez Valdes-Scantling,29,WR,16,10,,,0,,,,,,,42,21,315,15,1,14,40.5,46,1.3,19.7,50.00%,7.5,21,15,315,1,1,ValdMa00
17,Richie James,28,WR,9,1,,,0,,,,,,,14,10,114,11.4,0,5,57.1,45,1.1,12.7,71.40%,8.1,10,11.4,114,0,2,JameRi00
8,Justyn Ross,24,WR,10,1,,,0,,,,,,,11,6,53,8.8,0,2,45.5,20,0.6,5.3,54.50%,4.8,6,8.8,53,0,,RossJu00
81,Blake Bell,32,TE,17,3,,,0,,,,,,,9,5,26,5.2,1,1,44.4,8,0.3,1.5,55.60%,2.9,5,5.2,26,1,1,BellBl00
79,Donovan Smith,30,T,12,12,,,0,,,,,,,1,1,0,0,0,,0,0,0.1,0,100.00%,0,1,0,,0,,SmitDo02
,Team Total,26.1,,17,,417,1784,9,107,47.5,48,4.3,104.9,24.5,599,421,4383,10.4,28,216,52.4,67,24.8,257.8,70.30%,7.3,838,7.4,6167,37,20,-9999
,Opp Total,,,17,,432,1925,10,,,,4.5,113.2,25.4,,340,3001,8.8,19,,,,20,176.5,,,,,4926,29,23,-9999
